rpm,v_ms,thrust_N,torque_Nm
9000.0,0.000000,4.154000,0.098000
9000.0,1.622755,4.147000,0.099000
9000.0,3.249981,4.142000,0.100000
9000.0,4.872736,4.141000,0.101000
9000.0,6.495491,4.144000,0.103000
9000.0,8.122717,4.150000,0.105000
9000.0,9.745472,4.158000,0.107000
9000.0,11.368227,4.167000,0.110000
9000.0,12.990982,4.176000,0.114000
9000.0,14.618208,4.182000,0.118000
9000.0,16.240963,4.183000,0.122000
9000.0,17.863718,4.176000,0.126000
9000.0,19.490944,4.155000,0.130000
9000.0,21.113699,4.118000,0.134000
9000.0,22.736454,4.057000,0.137000
9000.0,24.363680,3.968000,0.139000
9000.0,25.986435,3.842000,0.140000
9000.0,27.609190,3.676000,0.139000
9000.0,29.231946,3.469000,0.136000
9000.0,30.859171,3.226000,0.132000
9000.0,32.481926,2.955000,0.125000
9000.0,34.104682,2.661000,0.117000
9000.0,35.731907,2.350000,0.107000
9000.0,37.354662,2.026000,0.097000
9000.0,38.977418,1.693000,0.085000
9000.0,40.604643,1.353000,0.073000
9000.0,42.227398,1.011000,0.060000
9000.0,43.850154,0.669000,0.047000
9000.0,45.472909,0.330000,0.033000
9000.0,47.100134,-0.001000,0.019000
10000.0,0.000000,5.131000,0.121000
10000.0,1.806042,5.122000,0.122000
10000.0,3.612083,5.117000,0.123000
10000.0,5.418125,5.116000,0.124000
10000.0,7.224166,5.120000,0.126000
10000.0,9.030208,5.127000,0.129000
10000.0,10.836250,5.138000,0.132000
10000.0,12.642291,5.150000,0.136000
10000.0,14.443862,5.161000,0.140000
10000.0,16.249904,5.170000,0.145000
10000.0,18.055946,5.172000,0.150000
10000.0,19.861987,5.163000,0.155000
10000.0,21.668029,5.139000,0.160000
10000.0,23.474070,5.093000,0.165000
10000.0,25.280112,5.019000,0.169000
10000.0,27.086154,4.909000,0.172000
10000.0,28.892195,4.754000,0.173000
10000.0,30.698237,4.549000,0.172000
10000.0,32.504278,4.293000,0.168000
10000.0,34.310320,3.993000,0.162000
10000.0,36.116362,3.657000,0.154000
10000.0,37.922403,3.293000,0.144000
10000.0,39.728445,2.908000,0.132000
10000.0,41.534486,2.507000,0.119000
10000.0,43.336058,2.095000,0.105000
10000.0,45.142099,1.675000,0.090000
10000.0,46.948141,1.251000,0.074000
10000.0,48.754182,0.828000,0.057000
10000.0,50.560224,0.409000,0.040000
10000.0,52.366266,-0.001000,0.022000
11000.0,0.000000,6.212000,0.146000
11000.0,1.989328,6.200000,0.147000
11000.0,3.974186,6.194000,0.148000
11000.0,5.963514,6.194000,0.150000
11000.0,7.948371,6.199000,0.153000
11000.0,9.937699,6.208000,0.156000
11000.0,11.922557,6.221000,0.160000
11000.0,13.911885,6.237000,0.164000
11000.0,15.901213,6.251000,0.169000
11000.0,17.886070,6.263000,0.175000
11000.0,19.875398,6.266000,0.181000
11000.0,21.860256,6.256000,0.187000
11000.0,23.849584,6.228000,0.194000
11000.0,25.834442,6.174000,0.199000
11000.0,27.823770,6.086000,0.204000
11000.0,29.813098,5.954000,0.208000
11000.0,31.797955,5.767000,0.210000
11000.0,33.787283,5.519000,0.208000
11000.0,35.772141,5.209000,0.204000
11000.0,37.761469,4.846000,0.197000
11000.0,39.750797,4.438000,0.187000
11000.0,41.735654,3.997000,0.174000
11000.0,43.724982,3.529000,0.160000
11000.0,45.709840,3.043000,0.144000
11000.0,47.699168,2.542000,0.127000
11000.0,49.684026,2.032000,0.108000
11000.0,51.673354,1.518000,0.089000
11000.0,53.662682,1.005000,0.068000
11000.0,55.647539,0.496000,0.047000
11000.0,57.636867,0.000000,0.026000
12000.0,0.000000,7.395000,0.173000
12000.0,2.168144,7.383000,0.174000
12000.0,4.336288,7.376000,0.176000
12000.0,6.508902,7.375000,0.178000
12000.0,8.677046,7.382000,0.181000
12000.0,10.845190,7.393000,0.185000
12000.0,13.013334,7.410000,0.190000
12000.0,15.181478,7.429000,0.195000
12000.0,17.349622,7.447000,0.201000
12000.0,19.522237,7.461000,0.208000
12000.0,21.690381,7.467000,0.215000
12000.0,23.858525,7.457000,0.223000
12000.0,26.026669,7.425000,0.230000
12000.0,28.194813,7.362000,0.237000
12000.0,30.367427,7.258000,0.243000
12000.0,32.535571,7.102000,0.248000
12000.0,34.703715,6.882000,0.250000
12000.0,36.871859,6.587000,0.248000
12000.0,39.040003,6.219000,0.243000
12000.0,41.212618,5.786000,0.234000
12000.0,43.380762,5.300000,0.222000
12000.0,45.548906,4.773000,0.208000
12000.0,47.717050,4.215000,0.191000
12000.0,49.885194,3.634000,0.172000
12000.0,52.053338,3.037000,0.151000
12000.0,54.225952,2.428000,0.129000
12000.0,56.394096,1.814000,0.105000
12000.0,58.562240,1.201000,0.081000
12000.0,60.730384,0.594000,0.055000
12000.0,62.898528,0.001000,0.030000
13000.0,0.000000,8.683000,0.203000
13000.0,2.351430,8.668000,0.204000
13000.0,4.702861,8.661000,0.206000
13000.0,7.054291,8.661000,0.209000
13000.0,9.401251,8.668000,0.213000
13000.0,11.752682,8.683000,0.217000
13000.0,14.104112,8.703000,0.222000
13000.0,16.455542,8.726000,0.229000
13000.0,18.806973,8.749000,0.236000
13000.0,21.158403,8.767000,0.244000
13000.0,23.509834,8.774000,0.252000
13000.0,25.856794,8.765000,0.261000
13000.0,28.208224,8.729000,0.270000
13000.0,30.559654,8.657000,0.279000
13000.0,32.911085,8.537000,0.286000
13000.0,35.262515,8.356000,0.291000
13000.0,37.613946,8.099000,0.293000
13000.0,39.965376,7.754000,0.292000
13000.0,42.316806,7.322000,0.286000
13000.0,44.663766,6.813000,0.275000
13000.0,47.015197,6.242000,0.261000
13000.0,49.366627,5.622000,0.244000
13000.0,51.718058,4.965000,0.224000
13000.0,54.069488,4.281000,0.202000
13000.0,56.420918,3.577000,0.177000
13000.0,58.772349,2.860000,0.151000
13000.0,61.119309,2.136000,0.123000
13000.0,63.470739,1.413000,0.094000
13000.0,65.822170,0.698000,0.064000
13000.0,68.173600,-0.001000,0.034000
14000.0,0.000000,10.075000,0.235000
14000.0,2.534717,10.058000,0.237000
14000.0,5.064963,10.049000,0.239000
14000.0,7.599680,10.050000,0.242000
14000.0,10.129926,10.059000,0.246000
14000.0,12.664643,10.077000,0.251000
14000.0,15.194890,10.101000,0.258000
14000.0,17.729606,10.129000,0.265000
14000.0,20.259853,10.157000,0.273000
14000.0,22.794570,10.179000,0.283000
14000.0,25.324816,10.190000,0.293000
14000.0,27.859533,10.181000,0.303000
14000.0,30.389779,10.141000,0.314000
14000.0,32.924496,10.061000,0.323000
14000.0,35.454742,9.925000,0.332000
14000.0,37.989459,9.717000,0.338000
14000.0,40.519706,9.420000,0.341000
14000.0,43.054422,9.022000,0.339000
14000.0,45.589139,8.522000,0.332000
14000.0,48.119386,7.932000,0.320000
14000.0,50.654102,7.268000,0.304000
14000.0,53.184349,6.547000,0.284000
14000.0,55.719066,5.783000,0.260000
14000.0,58.249312,4.986000,0.234000
14000.0,60.784029,4.166000,0.206000
14000.0,63.314275,3.330000,0.175000
14000.0,65.848992,2.488000,0.142000
14000.0,68.379238,1.645000,0.108000
14000.0,70.913955,0.812000,0.073000
14000.0,73.444202,-0.003000,0.038000
15000.0,0.000000,11.570000,0.270000
15000.0,2.713533,11.551000,0.272000
15000.0,5.427066,11.542000,0.274000
15000.0,8.145069,11.543000,0.278000
15000.0,10.858602,11.554000,0.283000
15000.0,13.572134,11.575000,0.289000
15000.0,16.285667,11.604000,0.296000
15000.0,18.999200,11.637000,0.304000
15000.0,21.712733,11.671000,0.314000
15000.0,24.430736,11.699000,0.325000
15000.0,27.144269,11.713000,0.336000
15000.0,29.857802,11.705000,0.348000
15000.0,32.571334,11.663000,0.360000
15000.0,35.284867,11.574000,0.371000
15000.0,37.998400,11.421000,0.381000
15000.0,40.716403,11.186000,0.389000
15000.0,43.429936,10.849000,0.392000
15000.0,46.143469,10.394000,0.390000
15000.0,48.857002,9.821000,0.382000
15000.0,51.570534,9.143000,0.369000
15000.0,54.284067,8.380000,0.350000
15000.0,57.002070,7.550000,0.327000
15000.0,59.715603,6.670000,0.300000
15000.0,62.429136,5.751000,0.270000
15000.0,65.142669,4.806000,0.236000
15000.0,67.856202,3.842000,0.201000
15000.0,70.569734,2.870000,0.163000
15000.0,73.287738,1.898000,0.124000
15000.0,76.001270,0.936000,0.083000
15000.0,78.714803,-0.004000,0.042000
16000.0,0.000000,13.170000,0.308000
16000.0,2.896819,13.148000,0.310000
16000.0,5.793638,13.138000,0.312000
16000.0,8.685987,13.140000,0.316000
16000.0,11.582806,13.154000,0.322000
16000.0,14.479626,13.179000,0.328000
16000.0,17.376445,13.213000,0.337000
16000.0,20.268794,13.252000,0.346000
16000.0,23.165613,13.292000,0.357000
16000.0,26.062432,13.326000,0.369000
16000.0,28.959251,13.346000,0.383000
16000.0,31.856070,13.340000,0.396000
16000.0,34.748419,13.296000,0.410000
16000.0,37.645238,13.198000,0.423000
16000.0,40.542058,13.029000,0.435000
16000.0,43.438877,12.766000,0.443000
16000.0,46.331226,12.386000,0.447000
16000.0,49.228045,11.872000,0.445000
16000.0,52.124864,11.222000,0.436000
16000.0,55.021683,10.451000,0.421000
16000.0,57.918502,9.581000,0.400000
16000.0,60.810851,8.635000,0.373000
16000.0,63.707670,7.629000,0.342000
16000.0,66.604490,6.580000,0.308000
16000.0,69.501309,5.499000,0.270000
16000.0,72.393658,4.397000,0.229000
16000.0,75.290477,3.285000,0.186000
16000.0,78.187296,2.172000,0.140000
16000.0,81.084115,1.071000,0.094000
16000.0,83.980934,-0.005000,0.047000
17000.0,0.000000,14.874000,0.348000
17000.0,3.075635,14.850000,0.350000
17000.0,6.155741,14.839000,0.353000
17000.0,9.231376,14.842000,0.358000
17000.0,12.307011,14.858000,0.363000
17000.0,15.387117,14.887000,0.371000
17000.0,18.462752,14.927000,0.380000
17000.0,21.542858,14.973000,0.391000
17000.0,24.618493,15.021000,0.403000
17000.0,27.694128,15.062000,0.417000
17000.0,30.774234,15.087000,0.432000
17000.0,33.849869,15.085000,0.448000
17000.0,36.925504,15.040000,0.464000
17000.0,40.005610,14.935000,0.479000
17000.0,43.081245,14.749000,0.492000
17000.0,46.161350,14.457000,0.501000
17000.0,49.236986,14.034000,0.506000
17000.0,52.312621,13.457000,0.504000
17000.0,55.392726,12.726000,0.494000
17000.0,58.468362,11.857000,0.477000
17000.0,61.543997,10.874000,0.453000
17000.0,64.624102,9.803000,0.423000
17000.0,67.699738,8.663000,0.388000
17000.0,70.775373,7.473000,0.349000
17000.0,73.855478,6.247000,0.305000
17000.0,76.931114,4.996000,0.259000
17000.0,80.011219,3.732000,0.210000
17000.0,83.086854,2.468000,0.158000
17000.0,86.162490,1.217000,0.105000
17000.0,89.242595,-0.007000,0.051000
18000.0,0.000000,16.682000,0.390000
18000.0,3.303626,16.656000,0.393000
18000.0,6.607251,16.644000,0.396000
18000.0,9.910877,16.649000,0.401000
18000.0,13.214502,16.669000,0.408000
18000.0,16.522598,16.704000,0.417000
18000.0,19.826224,16.752000,0.428000
18000.0,23.129850,16.807000,0.440000
18000.0,26.433475,16.863000,0.454000
18000.0,29.737101,16.912000,0.470000
18000.0,33.040726,16.941000,0.488000
18000.0,36.344352,16.938000,0.506000
18000.0,39.647978,16.883000,0.524000
18000.0,42.951603,16.755000,0.540000
18000.0,46.255229,16.530000,0.555000
18000.0,49.563325,16.178000,0.565000
18000.0,52.866950,15.667000,0.569000
18000.0,56.170576,14.976000,0.565000
18000.0,59.474202,14.107000,0.552000
18000.0,62.777827,13.084000,0.531000
18000.0,66.081453,11.935000,0.502000
18000.0,69.385078,10.688000,0.466000
18000.0,72.688704,9.369000,0.424000
18000.0,75.992330,7.995000,0.378000
18000.0,79.300426,6.582000,0.327000
18000.0,82.604051,5.144000,0.272000
18000.0,85.907677,3.696000,0.215000
18000.0,89.211302,2.252000,0.155000
18000.0,92.514928,0.829000,0.093000
19000.0,0.000000,18.596000,0.435000
19000.0,3.437738,18.567000,0.438000
19000.0,6.879946,18.554000,0.442000
19000.0,10.317683,18.559000,0.448000
19000.0,13.755421,18.582000,0.455000
19000.0,17.197629,18.621000,0.464000
19000.0,20.635366,18.674000,0.476000
19000.0,24.073104,18.737000,0.489000
19000.0,27.515312,18.802000,0.505000
19000.0,30.953050,18.860000,0.522000
19000.0,34.390787,18.901000,0.541000
19000.0,37.832995,18.909000,0.561000
19000.0,41.270733,18.866000,0.581000
19000.0,44.708470,18.750000,0.600000
19000.0,48.150678,18.533000,0.617000
19000.0,51.588416,18.186000,0.630000
19000.0,55.026154,17.673000,0.636000
19000.0,58.463891,16.967000,0.635000
19000.0,61.906099,16.064000,0.623000
19000.0,65.343837,14.982000,0.602000
19000.0,68.781574,13.753000,0.572000
19000.0,72.223782,12.408000,0.534000
19000.0,75.661520,10.974000,0.490000
19000.0,79.099258,9.474000,0.440000
19000.0,82.541466,7.924000,0.385000
19000.0,85.979203,6.342000,0.326000
19000.0,89.416941,4.742000,0.264000
19000.0,92.859149,3.139000,0.198000
19000.0,96.296886,1.551000,0.130000
19000.0,99.734624,-0.003000,0.061000
20000.0,0.000000,20.614000,0.484000
20000.0,3.621024,20.583000,0.486000
20000.0,7.242048,20.569000,0.491000
20000.0,10.858602,20.576000,0.497000
20000.0,14.479626,20.602000,0.505000
20000.0,18.100650,20.647000,0.515000
20000.0,21.721674,20.708000,0.528000
20000.0,25.342698,20.779000,0.543000
20000.0,28.959251,20.855000,0.560000
20000.0,32.580275,20.924000,0.580000
20000.0,36.201299,20.975000,0.601000
20000.0,39.822323,20.991000,0.623000
20000.0,43.443347,20.951000,0.645000
20000.0,47.059901,20.831000,0.667000
20000.0,50.680925,20.601000,0.686000
20000.0,54.301949,20.227000,0.700000
20000.0,57.922973,19.669000,0.708000
20000.0,61.543997,18.896000,0.706000
20000.0,65.160550,17.901000,0.694000
20000.0,68.781574,16.705000,0.671000
20000.0,72.402598,15.343000,0.638000
20000.0,76.023622,13.849000,0.596000
20000.0,79.644646,12.253000,0.547000
20000.0,83.261200,10.582000,0.491000
20000.0,86.882224,8.855000,0.430000
20000.0,90.503248,7.089000,0.363000
20000.0,94.124272,5.302000,0.293000
20000.0,97.740826,3.511000,0.220000
20000.0,101.361850,1.735000,0.144000
20000.0,104.982874,-0.004000,0.066000
21000.0,0.000000,22.738000,0.534000
21000.0,3.799840,22.703000,0.538000
21000.0,7.599680,22.689000,0.542000
21000.0,11.403990,22.697000,0.549000
21000.0,15.203830,22.728000,0.558000
21000.0,19.003670,22.779000,0.569000
21000.0,22.803510,22.848000,0.583000
21000.0,26.603350,22.930000,0.600000
21000.0,30.407661,23.017000,0.619000
21000.0,34.207501,23.099000,0.640000
21000.0,38.007341,23.161000,0.664000
21000.0,41.807181,23.187000,0.688000
21000.0,45.607021,23.152000,0.713000
21000.0,49.411331,23.031000,0.737000
21000.0,53.211171,22.790000,0.758000
21000.0,57.011011,22.389000,0.775000
21000.0,60.810851,21.787000,0.784000
21000.0,64.610691,20.946000,0.783000
